Time,Event Type, Event Details, Messages
1711145400173,Event,System start,OK!
1711145504209,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711145559902,Event,System start,OK!
1711145559904,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711145559920,Event,--Mongo DB Connected--,
1711145559921,Event,--Mongo DB Connection *Open*--,
1711145559922,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711145720704,Event,System start,OK!
1711145720705,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711145720721,Event,--Mongo DB Connected--,
1711145720721,Event,--Mongo DB Connection *Open*--,
1711145720721,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711145746921,Event,System start,OK!
1711145746922,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711145746939,Event,--Mongo DB Connected--,
1711145746939,Event,--Mongo DB Connection *Open*--,
1711145746940,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711145817110,Event,System start,OK!
1711145817111,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711145817130,Event,--Mongo DB Connected--,
1711145817130,Event,--Mongo DB Connection *Open*--,
1711145817130,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711146566294,Event,System start,OK!
1711146566295,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711146566313,Event,--Mongo DB Connected--,
1711146566313,Event,--Mongo DB Connection *Open*--,
1711146566314,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711146631358,Event,Received post at /login,[object Object]
1711146631460,Event,Attempting to authenticate login
1711146631492,Event,undefined settings retrieved,
1711147057206,Event,System start,OK!
1711147057207,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711147057223,Event,--Mongo DB Connected--,
1711147057224,Event,--Mongo DB Connection *Open*--,
1711147057224,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711147060971,Event,Received post at /login,defaultUser
1711147061062,Event,Attempting to authenticate login,
1711147061063,Event,Login success,defaultUser
1711147061074,Event,undefined settings retrieved,
1711147197398,Event,System start,OK!
1711147197400,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711147197417,Event,--Mongo DB Connected--,
1711147197417,Event,--Mongo DB Connection *Open*--,
1711147197418,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711147201634,Event,Received post at /login,defaultUser
1711147201726,Event,Attempting to authenticate login,
1711147201726,Event,Login success,defaultUser
1711147201738,Event,65fced4f285929986c560c62 settings retrieved,
1711147247525,Event,Received a put request at /settings,[object Object]
1711147247550,Event,65fced4f285929986c560c62 settings updated,
1711148654140,Event,System start,OK!
1711148654141,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711148654159,Event,--Mongo DB Connected--,
1711148654159,Event,--Mongo DB Connection *Open*--,
1711148654160,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711148662407,Event,Successfully registered user defaultuser,
1711148720603,Event,Successfully registered user defaultuser,
1711148722650,Error,UserExistsError: A user with the given username is already registered,An unhandled internal server error occurred,A record for the specified user already exists,A user with the given username is already registered
1711148730048,Event,Successfully registered user january,
1711148736006,Event,Successfully registered user user,
1711148741068,Error,UserExistsError: A user with the given username is already registered,An unhandled internal server error occurred,A record for the specified user already exists,A user with the given username is already registered
1711148751147,Event,Successfully registered user testuser,
1711148910701,Event,System start,OK!
1711148910703,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711148910722,Event,--Mongo DB Connection *Open*--,
1711148910723,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711148910722,Event,--Mongo DB Connected--,
1711148940064,Event,Successfully registered user testuser,
1711148948821,Error,MongoServerError: E11000 duplicate key error collection: newsFeedData.users index: email_1 dup key: { email: "email@email.com" },An unhandled internal server error occurred,That email address is already registered on this server,E11000 duplicate key error collection: newsFeedData.users index: email_1 dup key: { email: "email@email.com" }
1711149005491,Error,MongoServerError: E11000 duplicate key error collection: newsFeedData.users index: email_1 dup key: { email: "email@email.com" },An unhandled internal server error occurred,That email address is already registered on this server,E11000 duplicate key error collection: newsFeedData.users index: email_1 dup key: { email: "email@email.com" }
1711149013739,Error,MongoServerError: E11000 duplicate key error collection: newsFeedData.users index: email_1 dup key: { email: "email@email.com" },An unhandled internal server error occurred,That email address is already registered on this server,E11000 duplicate key error collection: newsFeedData.users index: email_1 dup key: { email: "email@email.com" }
1711149021771,Event,Successfully registered user defaultuser,
1711149035280,Error,UserExistsError: A user with the given username is already registered,An unhandled internal server error occurred,A record for the specified user already exists,A user with the given username is already registered
1711149086114,Event,Successfully registered user user,
1711160702500,Event,System start,OK!
1711160702501,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711160702518,Event,--Mongo DB Connection *Open*--,
1711160702518,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711160702517,Event,--Mongo DB Connected--,
1711160710060,Event,Received post at /login,defaultUser
1711160710150,Event,Attempting to authenticate login,
1711160710150,Event,Login success,defaultuser
1711160710163,Error,[object Object],An unhandled internal server error occurred,Could not locate the specified user,undefined
1711160853066,Event,Received post at /login,defaultUser
1711160853152,Event,Attempting to authenticate login,
1711160853152,Event,Login success,defaultuser
1711160853160,Error,[object Object],An unhandled internal server error occurred,Could not locate the specified user,undefined
1711160868551,Event,System start,OK!
1711160868553,Event,Attempting to connect to database at mongodb://localhost:27017/newsFeedData,
1711160868569,Event,--Mongo DB Connected--,
1711160868569,Event,--Mongo DB Connection *Open*--,
1711160868570,Event,Connected to database at mongodb://localhost:27017/newsFeedData,
1711160871902,Event,Received post at /login,defaultUser
1711160871991,Event,Attempting to authenticate login,
1711160871991,Event,Login success,defaultuser
1711160872004,Error,[object Object],An unhandled internal server error occurred,No user settings saved in database,undefined
1711160897653,Event,Received a put request at /settings,[object Object]
1711160897673,Event,undefined,
1711160897683,Event,created new user settings for 65fe0fdd0203b39858d5ccc8,
1711160909346,Event,Received post at /login,defaultUser
1711160909432,Event,Attempting to authenticate login,
1711160909433,Event,Login success,defaultuser
1711160909441,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711160952107,Event,News request received: [object Object],
1711160952128,Event,News request received: [object Object],
1711160968019,Event,News request received: [object Object],
1711160968022,Event,News request received: [object Object],
1711160968024,Event,News request received: [object Object],
1711160968026,Event,News request received: [object Object],
1711160968028,Event,News request received: [object Object],
1711160972176,Event,Received post at /login,defaultUser
1711160972266,Event,Attempting to authenticate login,
1711160972266,Event,Login success,defaultuser
1711160972273,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711161207494,Event,Received post at /login,defaultUser
1711161207579,Event,Attempting to authenticate login,
1711161207579,Event,Login success,defaultuser
1711161207586,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711162073674,Event,Received post at /login,defaultUser
1711162073764,Event,Attempting to authenticate login,
1711162073764,Event,Login success,defaultuser
1711162073770,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711162132954,Event,Received post at /login,defaultUser
1711162133039,Event,Attempting to authenticate login,
1711162133039,Event,Login success,defaultuser
1711162133047,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711162153125,Event,Received post at /login,defaultUser
1711162153213,Event,Attempting to authenticate login,
1711162153213,Event,Login success,defaultuser
1711162153220,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711165305180,Event,Received post at /login,defaultUser
1711165305267,Event,Attempting to authenticate login,
1711165305267,Event,Login success,defaultuser
1711165305273,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711165540878,Event,Received post at /login,defaultUser
1711165540968,Event,Attempting to authenticate login,
1711165540968,Event,Login success,defaultuser
1711165540974,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711165554801,Event,Received post at /login,defaultUser
1711165554887,Event,Attempting to authenticate login,
1711165554887,Event,Login success,defaultuser
1711165554893,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711165612193,Event,Received post at /login,defaultUser
1711165612283,Event,Attempting to authenticate login,
1711165612283,Event,Login success,defaultuser
1711165612290,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711165655050,Event,Received post at /login,defaultUser
1711165655141,Event,Attempting to authenticate login,
1711165655141,Event,Login success,defaultuser
1711165655148,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167040463,Event,Received post at /login,defaultUser
1711167040549,Event,Attempting to authenticate login,
1711167040549,Event,Login success,defaultuser
1711167040555,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167111219,Event,Received post at /login,defaultUser
1711167111305,Event,Attempting to authenticate login,
1711167111306,Event,Login success,defaultuser
1711167111312,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167247968,Event,Received post at /login,defaultUser
1711167248051,Event,Attempting to authenticate login,
1711167248051,Event,Login success,defaultuser
1711167248057,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167305305,Event,Received post at /login,defaultUser
1711167305391,Event,Attempting to authenticate login,
1711167305391,Event,Login success,defaultuser
1711167305397,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167528775,Event,Received post at /login,defaultUser
1711167528865,Event,Attempting to authenticate login,
1711167528865,Event,Login success,defaultuser
1711167528871,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167634108,Event,Received post at /login,defaultUser
1711167634192,Event,Attempting to authenticate login,
1711167634192,Event,Login success,defaultuser
1711167634198,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167668350,Event,Received post at /login,defaultUser
1711167668437,Event,Attempting to authenticate login,
1711167668437,Event,Login success,defaultuser
1711167668443,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167857369,Event,Received post at /login,defaultUser
1711167857454,Event,Attempting to authenticate login,
1711167857455,Event,Login success,defaultuser
1711167857460,Event,65fe3e41cd8cc8e435cec402 settings retrieved,
1711167908472,Event,Received post at /login,user
1711167908558,Event,Attempting to authenticate login,
1711167908558,Event,Login success,user
1711167908565,Error,[object Object],An unhandled internal server error occurred,No user settings saved in database,undefined
1711167998451,Event,Received a put request at /settings,[object Object]
1711167998454,Event,undefined,
1711167998459,Event,created new user settings for 65fe101e0203b39858d5cccd,
1711168001341,Event,News request received: [object Object],
1711168001343,Event,News request received: [object Object],
